id,codigo,descripcion
1509234992,15655010302,Conservación de Recursos Genéticos - Manzanos de sidra. Convocatoria 2024
1509234993,15655010201,Conservación de Recursos Genéticos - Razas autóctonas. Convocatoria 2023
1509234994,15655010202,Conservación de Recursos Genéticos - Razas autóctonas. Convocatoria 2024
1509234995,15661010002,Zonas con Limitaciones Naturales - Zonas de montaña. Convocatoria 2024
1509234996,15661020002,Zonas con Limitaciones Naturales - Otras zonas. Convocatoria 2024
1509234997,16010010505,Apicultura para la mejora de la biodiversidad riojana. Convocatoria 2020
1509234998,16651010501,Apicultura para la mejora de la biodiversidad. Convocatoria 2023
1509234999,16651010502,Apicultura para la mejora de la biodiversidad. Convocatoria 2024
1509235000,16651011301,Mantenimiento de la biodiversidad en viñedo y olivar. Convocatoria 2023
1509235001,16651011302,Mantenimiento de la biodiversidad en viñedo y olivar. Convocatoria 2024
1509235002,16651012501,Culivos sostenibles. Convocatoria 2023
1509235003,16651012503,Culivos sostenibles. Convocatoria 2024
1509235004,16651012502,Cultivos sostenibles. Compromiso adicional. Ampliar un año la rotación. Convocatoria 2023
1509235005,16651012504,Cultivos sostenibles. Compromiso adicional. Ampliar un año la rotación. Convocatoria 2024
1509235006,16651012901,Gestión de insumos agrícolas mediante tecnologías de dosificación variable: Productos fitosanitarios. Convocatoria 2023
1509235007,16651012902,Gestión de insumos agrícolas mediante tecnologías de dosificación variable: Productos fitosanitarios. Convocatoria 2024
1509235008,16651011601,Gestión de insumos agrícolas mediante tecnologías de dosificación variable: Fertilizantes. Convocatoria 2023
1509235009,16651011602,Gestión de insumos agrícolas mediante tecnologías de dosificación variable: Fertilizantes. Convocatoria 2024
1509235010,16651010801,Lucha alternativa a la lucha química. Convocatoria 2023
1509235011,16651010802,Lucha alternativa a la lucha química. Convocatoria 2024
1509235012,16653010301,Apicultura ecológica conversión. Convocatoria 2023
1509235013,16653010302,Apicultura ecológica conversión. Convocatoria 2024
1509235014,16653020301,Apicultura ecológica mantenimiento. Convocatoria 2023
1509235015,16653020302,Apicultura ecológica mantenimiento. Convocatoria 2024
1509235016,16653000201,Ganadería ecológica. Convocatoria 2023
1509235017,16653000202,Ganadería ecológica. Convocatoria 2024 
1509235018,16653000101,Agricultura ecológica. Convocatoria 2023
1509235019,16653000102,Agricultura ecológica. Convocatoria 2024 
1509235020,16654000001,Bienestar y sanidad animal. Convocatoria 2023
1509235021,16654000003,Bienestar y sanidad animal. Convocatoria 2024
1509235022,16654000002,Compatibilización de los sistemas de pastoreo tradicionales en el entorno del lobo. Convocatoria 2023
1509235023,16654000004,Compatibilización de los sistemas de pastoreo tradicionales en el entorno del lobo. Convocatoria 2024
1509235024,16655010201,Mantenimiento y fomento de razas autóctonas. Convocatoria 2023
1509235025,16655010202,Mantenimiento y fomento de razas autóctonas. Convocatoria 2024
1509235026,16661010002,Indemnización compensatoria en zonas de montaña. Convocatoria 2024
1509235027,17651010501,Apicultura para la biodiversidad. Convocatoria 2023
1509235028,17651011401,Mantenimiento o mejora de hábitats y de actividades agrarias tradicionales que preserven la biodiversidad (cultivo de arroz). Convocatoria 2023
1509235029,17651010701,Protección de la avifauna (aves esteparias). Convocatoria 2023
1509235030,17653000101,Compromisos de gestión medioambiental en agricultura ecológica. Convocatoria 2023
1509235031,17655010201,Compromisos de conservación de recursos genéticos: conservación oveja guirra. Convocatoria 2023
1509235032,17013010004,Ayudas compensatorias a zonas de montaña. Convocatoria 2024
1509235033,17013020002,Ayuda a zonas distintas de las de montaña con limitaciones naturales. Convocatoria 2024
